Trading Name,Trading Code,RIC
ChinaKundaTech,GU5,CKUN.SI
ChinaSunsine,QES,CHSN.SI
Chip Eng Seng,C29,CESE.SI
Choo Chiang,42E,CHOO.SI
Chuan Hup,C33,CHHS.SI
CityDev,C09,CTDM.SI
Civmec,P9D,CIVM.SI
Clearbridge,1H3,CLEA.SI
CNMC Goldmine,5TP,CNMC.SI
Combine Will,N0Z,CWIHx.SI
ComfortDelGro,C52,CMDG.SI
Cordlife,P8A,CORD.SI
Cortina,C41,CORT.SI
COSCO SHP SG,F83,COSC.SI
CosmoSteel,B9S,COSM.SI
Courage Inv,CIN,1145.HK
Creative,C76,CREA.SI
CreditBureauAsia,TCU,CRED.SI
CSC,C06,CSCH.SI
Darco Water Tech,BLR,DRWT.SI
Datapulse Tech,BKW,DATA.SI
DBS,D05,DBSM.SI
Debao Property,BTF,DPDL.SI
Del Monte Pac,D03,DMPL.SI
Delfi,P34,DELF.SI
DFIRG USD,D01,DFIR.SI
Digilife Tech,BAI,DIGI.SI
Don Agro,GRQ,DONA.SI
Dragon,MT1,DRGN.SI
Duty Free Intl,5SO,DUTY.SI
Dyna-Mac,NO4,DMHL.SI
Econ Healthcare,EHG,ECOE.SI
EcoWise,5CT,ECOW.SI
Edition,5HG,EDIT.SI
Eindec,42Z,EIND.SI
Ellipsiz,BIX,ELPZ.SI
Emperador Inc.,EMI,
Eneco Energy,R14,ENEC.SI
EnGro,S44,ENGR.SI
Envictus,BQD,ETIK.SI
Enviro-Hub,L23,EHHL.SI
Epicentre,5MQ,EPHL.SI
ES,5RC,ESGL.SI
ETC Singapore,1C0,EMER.SI
EuroSports Gbl,5G1,EURO.SI
Excelpoint,BDF,EXCE.SI
Ezra,5DN,EZRA.SI
F & N,F99,FRNM.SI
Fabchem China,BFT,FBCH.SI
Falcon Energy,5FL,FEGL.SI
Far East,5TJ,FAEA.SI
Far East Orchard,O10,FARE.SI
Federal Int,BDU,FEDL.SI
Figtree,5F4,FIGT.SI
First Resources,EB5,FRLD.SI
First Sponsor,ADN,FSCA.SI
FJ Benjamin,F10,FJBN.SI
Food Empire,F03,FEMP.SI
Forise Int,8A1,FOIL.SI
FortressMinerals,OAJ,FORR.SI
Frasers Property,TQ5,FRPL.SI
Frencken,E28,FREN.SI
Fu Yu,F13,FUYU.SI
Full Apex,BTY,FULL.SI
Fuxing China,AWK,FXCG.SI
G Invacom,QS9,GLOB.SI
G K Goh,G41,GKHS.SI
Gallant Venture,5IG,GLVT.SI
GCCP,41T,GCCP.SI
GDS Global,5VP,GDSG.SI
Genting Sing,G13,GENS.SI
Geo Energy Res,RE4,GEOE.SI
GHY Culture,XJB,GHYC.SI
Global Inv,B73,GLNV.SI
Global Palm Res,BLW,GPRL.SI
Global Testing,AYN,GTCL.SI
Golden Agri-Res,E5H,GAGR.SI
Golden Energy,AUE,GOLD.SI
Goodland,5PC,GLGP.SI
GP Industries,G20,GPEI.SI
Grand Banks,G50,GBYL.SI
Grand Venture,JLB,GRAN.SI
Great Eastern,G07,GELA.SI
Green Build,Y06,GREE.SI
GRP,BLU,GRPS.SI
GS Hldg,43A,GSHO.SI
GSH,BDX,GSHC.SI
GSS Energy,41F,GSSE.SI
Guoan Intl,G11,0143.HK
GuocoLand,F17,GUOC.SI
GYP Properties,AWS,GYPP.SI
Hafary,5VS,HFRY.SI
Hai Leck,BLH,HLHL.SI
Halcyon Agri,5VJ,HALC.SI
Hatten Land,PH0,HATT.SI
Haw Par,H02,HPAR.SI
HC Surgical,1B1,HCSU.SI
HealthBank,40B,HEAL.SI
Healthway Med,5NG,HEMC.SI
Heatec Jietong,5OR,HTJT.SI
Heeton,5DP,HEET.SI
Hengyang Petro,5PD,HNYG.SI
HG Metal,BTG,HGMM.SI
HGH,5GZ,HGHH.SI
Hiap Hoe,5JK,HIAP.SI
Hiap Tong,5PO,HTCL.SI
HL Global Ent,AVX,HLGE.SI
Ho Bee Land,H13,HBEE.SI
Hock Lian Seng,J2T,HLSG.SI
Hoe Leong,H20,HLEC.SI
Hong Fok,H30,HONG.SI
Hong Lai Huat,CTO,HONL.SI
Hong Leong Asia,H22,HLAA.SI
Hong Leong Fin,S41,HLSF.SI
HongkongLand USD,H78,HKLD.SI
Hor Kew,BBP,HKEW.SI
Hosen,5EV,HSNG.SI
Hotel Grand,H18,HGCS.SI
Hotel Royal,H12,HTRS.SI
Hotung Inv,BLS,HOTU.SI
HPL,H15,HPPS.SI
HRnetGroup,CHZ,HRNE.SI
Huationg Global,41B,HUAT.SI
Hwa Hong,H19,HWHS.SI
Hyphens Pharma,1J5,HYPH.SI
ICP Ltd,5I4,ICPL.SI
IFAST,AIY,IFAS.SI
IFS Capital,I49,IFAC.SI
IHH,Q0F,IHHH.KL
Imperium Crown,5HT,IMPE.SI
Inch Kenneth,I4R,IKEN.KL
Incredible,RDR,INCR.SI
Indofood Agri,5JS,IFAR.SI
Informatics,BOU,INFO.SI
InnoTek,M14,INTK.SI
Interra Resource,5GI,INTR.SI
Intl Cement,KUO,INTN.SI
Intraco,I06,ITRS.SI
IPC Corp,AZA,IPCC.SI
IPS Securex,42N,IPSS.SI
ISDN,I07,ISDN.SI
ISEC,40T,ISEC.SI
Isetan,I15,ISET.SI
ISOTeam,5WF,ISOT.SI
iWOW Tech,NXR,IWOW.SI
IX Biopharma,42C,IXBI.SI
Jackspeed,J17,JACK.SI
Jadason,J03,JADA.SI
Japan Foods,5OI,JPFD.SI
Japfa,UD2,JAPF.SI
Jardine C&C,C07,JCYC.SI
Jason Marine,5PF,JMGL.SI
Jasper Inv,FQ7,JASP.SI
Jawala,1J7,JAWA.SI
JB Foods,BEW,JBFO.SI
JEP,1J4,JEPH.SI
JES Intl,EG0,JSIH.SI
Jiutian Chemical,C8R,JUTN.SI
JMH USD,J36,JARD.SI
Joyas Intl,E9L,JIHL.SI
Jubilee,NHD,JLJH.SI
Jumbo,42R,JUMB.SI
Karin Tech,K29,KARI.SI
Katrina,1A0,KATR.SI
Kencana Agri,BNE,KCAL.SI
Keong Hong,5TT,KEHO.SI
Keppel Corp,BN4,KPLM.SI
Khong Guan,K03,KHON.SI
Kim Heng,5G2,KIMH.SI
Kimly,1D0,KIML.SI
KingsmenCreative,5MZ,KMEN.SI
Kitchen Culture,5TI,KCHL.SI
Koda,BJZ,KODA.SI
Koh Bros,K75,KBRO.SI
Koh Eco,5HV,KBEE.SI
KOP,5I1,KOPL.SI
Kori,5VC,KORI.SI
Koyo Intl,5OC,KOYO.SI
KrisEnergy,SK3,KRIS.SI
KSH,ER0,KSHH.SI
KTL Global,EB7,KTLG.SI
KTMG,XCF,KTMG.SI
Lasseters Intl,5EL,LASS.SI
Leader Env,LS9,LETL.SI
Ley Choon,Q0X,LEYC.SI
LHN,41O,LHNL.SI
LHN Logistics,GIH,LHNO.SI
LHT,BEI,LHTH.SI
Lian Beng,L03,LIBG.SI
LifeBrandz,1D3,LIFE.SI
Lion Asiapac,BAZ,LIAS.SI
Livingstone,PRH,LIVI.SI
Lonza,O6Z,LONN.S
Lorenzo Intl,5IE,LRZI.SI
Low Keng Huat,F1E,LKH.SI
LS 2 Holdings,ENV,LS2H.SI
Lum Chang,L19,LUCS.SI
Luminor,5UA,LUMI.SI
Lung Kee Bermuda,L09,0255.HK
Luxking,BKK,LUKG.SI
LY Corp,1H8,LYCO.SI
Magnus Energy,41S,MAGN.SI
Man Oriental USD,M04,MOIL.SI
MarcoPolo Marine,5LY,MAPM.SI
Maruwa Yen1k,M12,5344.T
Mary Chia,5OX,MARY.SI
Matex Intl,M15,MATE.SI
Maxi-Cash Fin,5UF,MAXI.SI
MDR Limited,Y3D,MDRT.SI
Medi Lifestyle,5TN,MEDL.SI
Medinex,OTX,MEDN.SI
MegaChem,5DS,MEGA.SI
MeGroup,SJY,MEGR.SI
Memiontec Hldgs,TWL,MEMI.SI
Memories,1H4,MEMO.SI
Mencast,5NF,MCHL.SI
Mercurius,5RF,MERC.SI
Mermaid Maritime,DU4,MMPC.SI
Meta Health,5DX,META.SI
Metech Intl,V3M,METE.SI
Metis Energy,L02,METIS.SI
Metro,M01,MTHL.SI
Mewah Intl,MV4,MEWI.SI
MFG Integration,M11,MITD.SI
Micro-Mechanics,5DD,MMEC.SI
Midas,5EN,MIDA.SI
MindChamps,CNE,MIND.SI
Miyoshi,M03,MIYO.SI
MM2 Asia,1B0,MM2A.SI
MoneyMax Fin,5WJ,MFSL.SI
Mooreast,1V3,
Moya Asia,5WE,MOYA.SI
MS Hldgs,40U,MSHO.SI
MSC,NPW,MSCB.KL
MSM Intl,5QR,MSML.SI
MTQ,M05,MTLS.SI
Multi-Chem,AWZ,MCHE.SI
Mun Siong Engg,MF6,MSEL.SI
Murata Yen1k,PJX,6981.T
MYP,F86,MYPL.SI
Nam Cheong,N4E,NMCG.SI
Nam Lee Metal,G0I,NLPM.SI
Nanofilm,MZH,NANO.SI
Natural Cool,5IF,NCHL.SI
NauticAWT,42D,NAUT.SI
NeraTel,N01,NERA.SI
Net Pacific Fin,5QY,NPFH.SI
New Silkroutes,BMT,NEWS.SI
New Toyo,N08,NTYO.SI
New Wave,5FX,NEWW.SI
Nico Steel,5GF,NICO.SI
NIO Inc. USD OV,NIO,
Nippecraft,N32,NIPP.SI
No Signboard,1G6,NOSI.SI
Noble,CGP,NOBG.SI
Nomura Yen1k,N33,8604.T
Nordic,MR7,NRGL.SI
Novo Tellus SPAC,NTA,NOVO.SI
NSL,N02,NATS.SI
NutryFarm,AZT,NUTR.SI
OCBC Bank,O39,OCBC.SI
Ocean Sky Intl,1B6,OCEA.SI
Oiltek,HQU,OILT.SI
OIO,KUX,OIOH.SI
OKH Global,S3N,OKHG.SI
OKP,5CF,OKPH.SI
Olam Group,VC2,
Old Chang Kee,5ML,OCKL.SI
Olive Tree,1H2,OLIV.SI
OneApex,5SY,ONEA.SI
Ossia Intl,O08,OSSA.SI
OTS Holdings,OTS,OTSH.SI
OUE,LJ3,OVES.SI
OUE Lippo HC,5WA,OUEL.SI
Ouhua Energy,AJ2,OUEH.SI
Overseas Edu,RQ1,OVER.SI
Oxley,5UX,OXHL.SI
OxPay Financial,TVV,OXPA.SI
P5 Capital,5AI,P5CA.SI
Pacific Andes,P11,PACF.SI
Pacific Century,P15,PCEN.SI
Pacific Radiance,T8V,PACI.SI
Pacific Star Dev,1C5,PACS.SI
Pan Hong,P36,PANH.SI
PanUnited,P52,PANU.SI
Parkson Retail,O9E,PRAL.SI
PEC,IX2,PECL.SI
Pegasus SPAC,PGS,PEGA.SI
Penguin Intl,BTM,PGUN.SI
Pharmesis Intl,BFK,PHAR.SI
PlatoCapital,YYN,PLAT.SI
PNE Industries,BDA,PNEI.SI
Polaris,5BI,POLA.SI
Pollux Prop,5AE,PLPS.SI
Powermatic Data,BCY,PMDS.SI
Procurri,BVQ,PROC.SI
PropNex,OYY,PROP.SI
Prudential USD,K6S,PRU.L
PSC Corporation,DM0,PSCC.SI
Q&M Dental,QC7,QMDT.SI
QAF,Q01,QAFS.SI
Qian Hu,BCV,QIAN.SI
QT Vascular,5I0,QTVA.SI
Raffles Edu,NR7,RLSE.SI
Raffles Infrastructure,LUY,RAFL.SI
Raffles Medical,BSL,RAFG.SI
RE&S Hldg,1G1,RESH.SI
Reclaims Global,NEX,RECL.SI
Reenova Investment,5EC,REEN.SI
Regal Intl,UV1,REGI.SI
Renaissance United,I11,RENA.SI
Resources Gbl,QSD,RESU.SI
Revez,RCU,REVE.SI
Rex Intl,5WH,REXI.SI
RH PetroGas,T13,RHPG.SI
Rich Capital,5G4,RICH.SI
Riverstone,AP4,RVHL.SI
Sakae,5DO,SAKA.SI
Samko Timber,E6R,SAMT.SI
SamuderaShipping,S56,SAMU.SI
Samurai 2K,Y8E,SAMR.SI
Sanli Env,1E3,SANL.SI
Sapphire,BRD,SAPP.SI
Sarine Tech,U77,SARI.SI
SATS,S58,SATS.SI
SBI Offshore,5PL,SBIO.SI
SBS Transit,S61,SBVV.SI
Secura,43B,SECU.SI
Sembcorp Ind,U96,SCIL.SI
Sembcorp Marine,S51,SCMN.SI
Sen Yue,5BS,SENY.SI
Serial System,S69,SERL.SI
Seroja Inv,IW5,SERO.SI
Sevens Atelier,5EW,PANA.SI
SGX,S68,SGXL.SI
Shanaya,SES,SHAA.SI
Shanghai Turbo,AWM,SHTU.SI
Shangri-La HKD,S07,0069.HK
Shen Yao,A78,SHEY.SI
Sheng Siong,OV8,SHEN.SI
Shenshan,BKV,CHIS.SI
Shopper360,1F0,SHOP.SI
SIA,C6L,SIAL.SI
SIA Engineering,S59,SIAE.SI
SIIC Environment,BHK,SIIC.SI
Silkroad Nickel,STP,SILK.SI
Silverlake Axis,5CP,SLVX.SI
Sim Leisure,URR,SIMI.SI
Sin Heng Mach,BKA,SIHM.SI
Sinarmas Land,A26,SINA.SI
Sincap,5UN,SINC.SI
Sing Inv & Fin,S35,SINV.SI
Sing Paincare,FRQ,SINR.SI
SingaporeKitchen,5WG,SING.SI
SingaporeLandGrp,U06,SIND.SI
SingHoldings,5IC,SHDS.SI
SingMedical,5OT,SMGL.SI
SingPost,S08,SPOS.SI
SingShipping,S19,SSHP.SI
Singtel,Z74,STEL.SI
Singtel 10,Z77,
Sinjia Land,5HH,SINJ.SI
Sino Grandness,T4B,SOGF.SI
SinoCloud,5EK,SINL.SI
Sinostar Pec,C9Q,SNSR.SI
Sitra,5LE,SITR.SI
SLB Dev,1J0,SLBD.SI
SMI Vantage,Y45,SMIV.SI
Soilbuild Const,S7P,SOIL.SI
Soon Lian,5MD,SNLN.SI
Soup Holdings,5KI,SOUP.SI
Southern Arch,A33,SOUE.SI
Southern Pkg,BQP,SOUT.SI
SouthernAlliance,QNS,SOUH.SI
SP Corp,AWE,SPPS.SI
